message
Invalid pattern '\u{1D306}' at offset 3. Insufficient hexadecimal digits.
Invalid pattern '^(?P<plus_minus>(\+|-))(?P<hours>\d{2})(?P<minutes>\d{2})$' at offset 4. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern 'var total_pages=(?P<count>[^;]*?);' at offset 19. Unrecognized grouping construct.
Invalid pattern '\Q$no_domain\E$' at offset 2. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Invalid pattern '\x{FFFF}' at offset 3. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Invalid pattern '($p)\_\_($s)' at offset 6. Unrecognized escape sequence \\_.
"Invalid pattern 'Your job (?P<jobid>\d+) \(""' at offset 12. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Invalid pattern '^population (?P<country>.*)$' at offset 15. Unrecognized grouping construct.
Invalid pattern 'mongodb://(?P<username>[^:@]+):(?P<password>[^:@]+)@.*' at offset 13. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern '[\x{00C0}-\x{00C3}\x{00E0}-\x{00E3}\x{0102}\x{0103}\x{1EA0}-\x{1EB7}]' at offset 4. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Invalid pattern '()<B><Z>(?:<[^>]+>)+<\/Z>(N\x{ed})<\/B>( <Y>[^<]+<\/Y>)' at offset 30. Insufficient hexadecimal digits.
Invalid pattern '\Q$action\E=' at offset 2. Unrecognized escape sequence \\Q.
Invalid pattern '^\s*+(?<_1>-)\s*+(?<_2>[a-z][a-zA-Z\d@_]*+)\s*+(?<_3>\()' at offset 5. Nested quantifier '+'.
Invalid pattern '^ \P{alphabetic} + \z' at offset 16. Unknown property 'alphabetic'.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '^(?:(?P<username>.+)@)*(?P<hostname>[a-z0-9_.-]*)[:/]*(?P<port>[\d]+){0,1}[:](?P<pathname>\/?(?P<owner>.+)/(?P<name>.+).git)' at offset 7. Unrecognized grouping construct."
Invalid pattern '^\p{Letter}+$' at offset 11. Unknown property 'Letter'.
Invalid pattern '= (?P<min>[0-9.]+)/(?P<avg>[0-9.]+)/(?P<max>[0-9.]+) ms' at offset 5. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(?=[' at offset 4. Unterminated [] set.
Invalid pattern ' \R' at offset 3. Unrecognized escape sequence \\R.
Invalid pattern ''(?:[^']++|'')*+'|[\d-.]+' at offset 10. Nested quantifier '+'.
Invalid pattern '[\s\.\-\_]+' at offset 9. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Invalid pattern '5(?<_1>#)[0-4]++' at offset 16. Nested quantifier '+'.
Invalid pattern '^SUTURE\_' at offset 9. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Invalid pattern '(<E[^>]*><S>[Gg]an<\/S> (?:<N[^>]*>[BbCcGgMmPp][^Hh'][^<]*<\/N>)<\/E> <R>go br\x{e1}ch<\/R>)' at offset 81. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^\Q$cf->{location}->[0]\E' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Invalid pattern '(?:([A-Za-z\d])|^)(' at offset 19. Not enough )'s.
Invalid pattern '([\u{4E00}-\u{9FD5}a-zA-Z0-9+#&\._%]+)' at offset 5. Insufficient hexadecimal digits.
Invalid pattern '\n\r?\n(BREAKING|FIX|FEATURE):\s*([^]*?)(?=\r?\n\r?\n|\r?\n?$)' at offset 62. Unterminated [] set.
Invalid pattern '^(?u:!)' at offset 4. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '\s+(?P<VALUE>\S+)' at offset 6. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern '[\x{0E00}-\x{0E7F}]' at offset 4. Insufficient hexadecimal digits.
Invalid pattern '^(\pL|\pN)+([- _.]+|\pN+|\pL+)+$' at offset 5. Malformed \\p{X} character escape.
Invalid pattern '(.*)\Q$start\E' at offset 6. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Invalid pattern 'igenic\_(\d+)\-(\d+)' at offset 8. Unrecognized escape sequence \\_.
Invalid pattern '\Q$plugin\E$' at offset 2. Unrecognized escape sequence \\Q.
Invalid pattern 'rim.*?version\/([\.\_\d]+)' at offset 21. Unrecognized escape sequence \\_.
Invalid pattern '^([^=]+=\s*)([^]*?)\s*$' at offset 23. Unterminated [] set.
Invalid pattern '(?P<hl_lines>\d+(?:[ \t]+\d+)*)' at offset 3. Unrecognized grouping construct.
Invalid pattern '^${\(SUBJECT_FIELD)}:' at offset 19. Too many )'s.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(^.*/l/\w{0,32})/(?P<type_id>\w{0,32})/(!.*)?$' at offset 20. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '.+(?:???|???|?|?|??)' at offset 6. Quantifier {x,y} following nothing."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern 'UPDATE `?site`? SET `?value`? = '?(?P<patch>\d+)'? WHERE `?setting`? = 'sqlpatch'' at offset 37. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '['""]file['""]\s*:\s*(?P<quote>['""])(?P<url>.*?)(?P=quote)' at offset 22. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Invalid pattern '^/usr/bin/(?!cygcrypt\b)|^\Q$system_root\E/' at offset 28. Unrecognized escape sequence \\Q.
Invalid pattern 'm:([a-zA-Z_\x7f-\xff][a-zA-Z0-9_\x7f-\xff-]*)\s*(\(((?>[^)(]+|(?2))*)\))?' at offset 65. Unrecognized grouping construct.
Invalid pattern '\[quote\b[^]]*\]((?>[^[]++|\[(?!/?quote))*)\[/quote\]' at offset 26. Nested quantifier '+'.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern 'mailto:(' at offset 8. Not enough )'s.
Invalid pattern '[\x{0700}-\x{0745}]' at offset 4. Insufficient hexadecimal digits.
"Invalid pattern '(<E[^>]*><T>[Aa]n<\/T> <A pl=""n"" gnt=""n"">(?:seacht|naoi|deich)<\/A><\/E> <A pl=""n"" gnt=""n"">gc\x{e9}ad<\/A>)' at offset 96. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(?P<type>\S+):\s+(?P<size>[0-9]+)' at offset 3. Unrecognized grouping construct.
Invalid pattern '\ARequest for frame (?P<frnum>\d+) exceeds the range of 0 through (?P<nframes>\d+)\Z' at offset 23. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern '\A([a-zA-Z0-9\-\_\~\+\\]+\.[a-zA-Z0-9\-\_\~\+\\]+\.[a-zA-Z0-9\-\_\~\+\\]*)\z' at offset 17. Unrecognized escape sequence \\_.
"Invalid pattern '^((hd(?P<Unit>\d+)),.*(?P<Partition>\d+))$' at offset 8. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Invalid pattern '\A(\h{32}|\h{8}-\h{4}-\h{4}-\h{4}-\h{12})\z' at offset 5. Unrecognized escape sequence \\h.
Invalid pattern '\Q*' at offset 2. Unrecognized escape sequence \\Q.
Invalid pattern '[^$_RE_BidiClass_L\p{Bc:EN}\p{Bc:ES}\p{Bc:CS}\p{Bc:ET}\p{Bc:BN}\p{Bc:ON}\p{Bc:NSM}]' at offset 24. Incomplete \\p{X} character escape.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern ' \Q$rule\E\b' at offset 3. Unrecognized escape sequence \\Q.
Invalid pattern '\u{0000}' at offset 3. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^Action\_' at offset 9. Unrecognized escape sequence \\_.
Invalid pattern '\/\*\* ignored by jsdoc \*\*\/\s*[^]*' at offset 37. Unterminated [] set.
Invalid pattern '^([^\_]+)\_(.+)$' at offset 6. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Invalid pattern '\p{block=basic_latin}' at offset 9. Incomplete \\p{X} character escape.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(?<![<>])(<S>(?:[Dd][eo]n|[Ss]an?|[Ff]aoin|[\x{d3}\x{f3}]n)<\/S> <N pl=""n"" gnt=""n"" gnd=""m"">(?:Mhadagascar|Mhaenmar|Mh\x{e1}lta|Mharac\x{f3}|Mheicsiceo|Mhonac\x{f3})<\/N>)(?![<>])' at offset 47. Insufficient hexadecimal digits."
Invalid pattern '([r' at offset 3. Unterminated [] set.
Object reference not set to an instance of an object.
Invalid pattern '^(?P<num>\d+(\.(?P<decimal>\d+))?)(?P<unit>[KMGTPEZ]?B)$' at offset 4. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern 'ab\p{Alpha}cd' at offset 11. Unknown property 'Alpha'.
Invalid pattern '(?:P(?P<weeks>\d+)W)|(?:P(?:(?:(?P<years>\d+)Y)?(?:(?P<months>\d+)M)?(?:(?P<days>\d+)D))?(?:T(?:(?P<hours>\d+)H)?(?:(?P<minutes>\d+)M)?(?:(?P<seconds>\d+)S)?)?)' at offset 7. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(?ix) ^
        (?P<language> [[:alpha:]]{2,3} )
        (?: _  (?P<region> [[:alpha:]]{2} | [[:digit:]]{3} ))?
        (?: \. (?P<encoding> [0-9a-zA-Z-]{1,20} ))?
        (?: @  (?P<variant> [[:alnum:]]{1,20} ))?
    $ ' at offset 19. Unrecognized grouping construct."
Invalid pattern '^\{(?P<left>-?\d*)?\.\.(?P<right>-?\d*)?(?::(?P<sep>.*))?\}$' at offset 6. Unrecognized grouping construct.
Invalid pattern 'lib([a-zA-Z0-9\_\-\.]*?)\.(a|dll\.a)$' at offset 16. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^(?P<title>.+?)(\[\w\[\]\(\). -]+)?\.(pdf|htm(l)?|epub|mobi|azw|tif|doc(x)?|lit|txt|rtf|opf|fb2|prc|djvu|cb[rz])' at offset 4. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern '([^\x{1040}-\x{1049}])\x{1040}$' at offset 6. Insufficient hexadecimal digits.
Invalid pattern '^[a-z0-9][a-z0-9\_\-]*$' at offset 18. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
"Invalid pattern '^\s+- (?P<item>[^,]+),\s+(?P<value>(True|False))(, (?P<description>.+)$)?' at offset 9. Unrecognized grouping construct."
Invalid pattern '('([^'\\]++|''\.)')|stdClass::__set_state' at offset 11. Nested quantifier '+'.
Object reference not set to an instance of an object.
Invalid pattern '!(' at offset 2. Not enough )'s.
Invalid pattern '\((.+?)\)[ \t]+\Q$domain\E\x0d?\x0a' at offset 17. Unrecognized escape sequence \\Q.
"Invalid pattern 'add_handler(""INVITE"", -> $event {
    my ($from, $chan) = $event<from rest>;
    .' at offset 82. Not enough )'s."
Invalid pattern '(now|today)(?P<sign>[+-])(?P<time>\d+)(?P<unit>day|week|month|year)(s)?' at offset 14. Unrecognized grouping construct.
Object reference not set to an instance of an object.
"Invalid pattern 'href\s*=\s*""([^""]*' at offset 18. Not enough )'s."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^\s*+(?<_1>-)\s*+(?<_2>ifndef)\s*+(?<_3>\()\s*+(?<_4>[a-zA-z\d@_]++)\s*+(?<_5>\))\s*+(?<_6>\.)' at offset 5. Nested quantifier '+'.
Object reference not set to an instance of an object.
"Invalid pattern '(?x)
    (?P<major>\d+)(?:\.(?P<minor>\d+))?(?:\.(?P<micro>\d+))?
    (?:(?P<type>a|b|rc)(?P<pre>\d+))?
    (?:\.post(?P<post>\d+))?
    (?:\.dev(?P<dev>\d+))?
    ' at offset 12. Unrecognized grouping construct."
Invalid pattern '(?<![<>])((?:<N[^>]*>Mhic<\/N>) <Y>(?:[BDFMPT][^Hh']|S[lnraeiou\x{e1}\x{e9}\x{ed}\x{f3}\x{fa}]|bhF)[^<]*<\/Y>)(?![<>])' at offset 66. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^\Q$dir' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
"Invalid pattern '(${rsquo}[\xA0\s]+)""(?!\PZ)' at offset 25. Incomplete \\p{X} character escape."
Object reference not set to an instance of an object.
Invalid pattern '(\Q$options{hl_tag}\E(.*?)\Q$options{hl_end}\E)' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
"Invalid pattern '(?<![<>])(<V cop=""y"">[\x{d3}\x{f3}]narb<\/V> <[A-DF-Z][^>]*>[^aeiouAEIOU\x{e1}\x{e9}\x{ed}\x{f3}\x{fa}\x{c1}\x{c9}\x{cd}\x{d3}\x{da}][^<]+<\/[A-DF-Z]>)(?![<>])' at offset 25. Insufficient hexadecimal digits."
"Invalid pattern '??????????(?<VAL>[^??]+)???????' at offset 1. Quantifier {x,y} following nothing."
"Invalid pattern '(?P<url>http://[0-9a-zA-Z\-\.]*/
                            (lokad|opid)
                            /
                            ([0-9]+/[0-9][0-9]/[0-9][0-9]/)?
                            ([A-Z0-9\$_]+\.mp4\.m3u8)
                            )
                         ' at offset 3. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Invalid pattern '\A\Q$prompt' at offset 4. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Invalid pattern '(?:(?:\_bin)|(?:\_dir)|(?:\_path))$' at offset 8. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
"Invalid pattern '\s*+([{},])\s*+|(^\s++)|(>)\s*+|(?:(?!\s*+[{},]|^\s)[^>])++' at offset 4. Nested quantifier '+'."
Object reference not set to an instance of an object.
Invalid pattern '\Q$pattern\E' at offset 2. Unrecognized escape sequence \\Q.
Invalid pattern '%25\p{XDigit}{2}' at offset 13. Unknown property 'XDigit'.
Invalid pattern '(?P<proto>inproc|ipc|tcp|pgm|epgm)://(?P<address>.*)$' at offset 3. Unrecognized grouping construct.
Invalid pattern '::\Q$tbl\E$' at offset 4. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern 'Phase\s+(?P<phase>\d+)[\s\w\(\)]+\:\s+(?P<duration>\d+)' at offset 11. Unrecognized grouping construct.
Invalid pattern '[\pL\p{Mc}\p{Mn}\p{Nd}-_']+' at offset 4. Malformed \\p{X} character escape.
Invalid pattern '[#' at offset 2. Unterminated [] set.
Object reference not set to an instance of an object.
Invalid pattern '\\(\n\d+|\k\w+|(?<!\|)\g\w+)' at offset 12. Malformed \\k<...> named back reference.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '\n\+CME\s+ERROR:\s+(?P<error>[\w ]+)' at offset 22. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern '(?<![<>])(<S>[Rr]oimh<\/S> (?:<P[^>]*>[\x{c9}\x{e9}]<\/P>))(?![<>])' at offset 42. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(?P<type>\w+)\.stat_(?P<number>\d+)' at offset 3. Unrecognized grouping construct.
"Invalid pattern '^\Q$self->{""+""}\E' at offset 3. Unrecognized escape sequence \\Q."
"Invalid pattern '(?<![<>])(<Q>[Cc]\x{e9}n<\/Q> <N pl=""n"" gnt=""n"" gnd=""m"">[aeiouAEIOU\x{e1}\x{e9}\x{ed}\x{f3}\x{fa}\x{c1}\x{c9}\x{cd}\x{d3}\x{da}][^<]*<\/N>)(?![<>])' at offset 20. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '<iframe[^>]+src=(?P<q>[""\'])(?P<url>(?:https?:)?//vbox7\.com/emb/external\.php.+?)(?P=q)' at offset 19. Unrecognized grouping construct."
Invalid pattern '^(?P<format_id>\d+)/(?P<width>\d+)[xX](?P<height>\d+)' at offset 4. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern '^[\r\n\x85\x{2028}\x{2029}]$' at offset 13. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Invalid pattern '^(?P<hour>\d{2}):(?P<minute>\d{2}):(?P<second>\d{2})(\.(?P<microseconds>\d+))?(?P<timezone>Z|((?P<tz_sign>[-+])(?P<tz_hour>\d{2})(:(?P<tz_minute>\d{2}))?))?$' at offset 4. Unrecognized grouping construct.
Invalid pattern '^(?P<bundle>\w+):(?P<directory>\w+)$' at offset 4. Unrecognized grouping construct.
Object reference not set to an instance of an object.
